class I
population/area	coverage	average_hit	pc90
World	98.55%	22.99	15.14
average	98.55%	22.99	15.14
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
World	0	1.45	100.0
World	1	0.0	98.55
World	2	0.0	98.55
World	3	0.0	98.55
World	4	0.0	98.55
World	5	0.0	98.55
World	6	0.0	98.55
World	7	0.0	98.55
World	8	0.0	98.55
World	9	0.0	98.55
World	10	16.62	98.55
World	11	0.0	81.93
World	12	0.0	81.93
World	13	0.0	81.93
World	14	0.0	81.93
World	15	0.0	81.93
World	16	0.0	81.93
World	17	0.0	81.93
World	18	0.0	81.93
World	19	0.0	81.93
World	20	40.55	81.93
World	21	0.0	41.38
World	22	0.0	41.38
World	23	0.0	41.38
World	24	0.0	41.38
World	25	0.0	41.38
World	26	0.0	41.38
World	27	0.0	41.38
World	28	0.0	41.38
World	29	0.0	41.38
World	30	33.37	41.38
World	31	0.0	8.01
World	32	0.0	8.01
World	33	0.0	8.01
World	34	0.0	8.01
World	35	0.0	8.01
World	36	0.0	8.01
World	37	0.0	8.01
World	38	0.0	8.01
World	39	0.0	8.01
World	40	8.01	8.01


