class II
population/area	coverage	average_hit	pc90
World	99.68%	19.83	12.76
average	99.68%	19.83	12.76
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
World	0	0.32	100.0
World	1	0.0	99.68
World	2	0.0	99.68
World	3	0.0	99.68
World	4	1.83	99.68
World	5	0.0	97.85
World	6	0.0	97.85
World	7	0.0	97.85
World	8	5.44	97.85
World	9	0.0	92.41
World	10	0.0	92.41
World	11	0.0	92.41
World	12	12.74	92.41
World	13	0.0	79.67
World	14	0.0	79.67
World	15	0.0	79.67
World	16	21.1	79.67
World	17	0.0	58.57
World	18	0.0	58.57
World	19	0.0	58.57
World	20	22.53	58.57
World	21	0.0	36.04
World	22	0.0	36.04
World	23	0.0	36.04
World	24	17.07	36.04
World	25	0.0	18.97
World	26	0.0	18.97
World	27	0.0	18.97
World	28	10.28	18.97
World	29	0.0	8.69
World	30	0.0	8.69
World	31	0.0	8.69
World	32	5.46	8.69
World	33	0.0	3.23
World	34	0.0	3.23
World	35	0.0	3.23
World	36	2.57	3.23
World	37	0.0	0.66
World	38	0.0	0.66
World	39	0.0	0.66
World	40	0.66	0.66


